sha,repo_commit,author_date,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_cross_service_change,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_helm_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_db_migration_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ct_service_roots,ct_top_dirs,ct_extensions
714fe981ac419355a8241bfcb567ec2dbfd915ff,Opetushallitus/jod-yksilo-ui,2024-07-30T10:57:40Z,1,0,0,3,23,21,44,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,package-lock.json|src,.json|.tsx
784d07ba1f9ac8e2848d5abfc4482b4e868ec37a,Opetushallitus/jod-yksilo-ui,2024-07-30T10:57:40Z,1,1,1,3,23,21,44,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,package-lock.json|src,.json|.tsx
7e0f3be48be10dc61cdceafa30142413114d9ccc,Opetushallitus/jod-yksilo-ui,2024-07-30T10:57:40Z,1,1,1,3,23,21,44,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,package-lock.json|src,.json|.tsx
0488abc00470a222e40e473010e6e6e230cef75b,Opetushallitus/jod-yksilo-ui,2024-07-30T11:23:04Z,1,0,0,5,21,9,30,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,.github|src|vite.config.ts,.ts|.tsx|.yml
c93b4dd85489eeca091e0f4e494446387abecb51,Opetushallitus/jod-yksilo-ui,2024-07-30T11:23:04Z,1,1,1,5,21,9,30,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,.github|src|vite.config.ts,.ts|.tsx|.yml
6014a00edbb93afdebe43ec4d97cf18990c73a49,Opetushallitus/jod-yksilo-ui,2024-07-30T11:26:14Z,1,0,0,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,index.html,.html
bd93c088d32e40404e98f93eece013f32dd739e4,Opetushallitus/jod-yksilo-ui,2024-07-30T11:26:14Z,1,1,1,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,index.html,.html
ba6a8f21098210cb78363e32737e0aa4c49e4574,Opetushallitus/jod-yksilo-ui,2024-07-30T14:02:36Z,1,1,1,1,5,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,index.html,.html
3395aaca709709f7365f778006f24d5e1a9c9f4d,Opetushallitus/jod-yksilo-ui,2024-07-31T11:06:41Z,1,1,1,16,80,121,201,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.ts|.tsx
805c6a282fc35a338c1171f961aff6f1af43933f,Opetushallitus/jod-yksilo-ui,2024-07-31T11:26:44Z,1,1,1,16,80,121,201,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.ts|.tsx
52f83d991b0f460532dc7b9971cedcbe2cafb6ec,Opetushallitus/jod-yksilo-ui,2024-07-31T11:32:57Z,1,1,1,16,80,121,201,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.ts|.tsx
7402f9e1967ccb70a00838ad62b2fee6c92ec0bf,Opetushallitus/jod-yksilo-ui,2024-07-31T13:41:42Z,1,1,1,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.tsx
b6905caa400858fbe8fa03a3be8110828b565ef2,Opetushallitus/jod-yksilo-ui,2024-07-31T13:41:42Z,1,0,0,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.tsx
43d88f018689954959fe5376720e93148a868b92,Opetushallitus/jod-yksilo-ui,2024-08-01T08:20:14Z,1,1,1,18,94,146,240,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,src,.ts|.tsx
66f2a1c38992e05d8b8307aa968ce201e8765412,Opetushallitus/jod-yksilo-ui,2024-08-01T08:20:14Z,1,1,1,18,94,146,240,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,src,.ts|.tsx
aa31317c5308d0629df86ed43fd9c9f9a55a9ce6,Opetushallitus/jod-yksilo-ui,2024-08-01T08:20:14Z,1,0,0,18,94,146,240,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,src,.ts|.tsx
a16e2e3ac1594690e819acc5df2c71f02b2f8181,Opetushallitus/jod-yksilo-ui,2024-08-01T11:18:02Z,1,1,1,2,2,43,45,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,src,.ts|.tsx
