branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
2,0,45,1989843,1013.0,1514,12,0,11,1,4226,0,27,0,27,4226,0,1066964,0,10,1,10,1266,32258,16,15,10,0,335.51928649888845,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,23,4226,0,4226,3,6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,23,0,24,4226,222,194,3810,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,9,2,7,1,0.00016203703703703703,1003.0,4578.142857142857,0.0,0.0,0.0,0.0,0.0,1.0
2,0,45,1989843,997.0,1513,12,0,11,1,4226,0,27,0,27,4226,0,1066964,0,10,1,10,1266,32258,16,15,10,0,335.51928649888845,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,23,4226,0,4226,3,6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,23,0,24,4226,222,194,3810,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,9,2,7,1,0.00015046296296296297,1013.0,1570.5714285714287,0.0,0.0,0.0,0.0,0.0,1.0
2,0,45,1989843,970.0,1512,12,0,11,1,4225,0,27,0,27,4225,1,1066963,88,10,1,10,1266,32258,16,15,10,0,335.5196009608581,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,23,4225,0,4225,3,6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,23,0,24,4225,222,194,3809,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,10,2,7,1,0.00017361111111111112,997.0,1308.2857142857142,0.0,0.0,0.0,0.0,0.0,1.0
1,1,50,1989843,3096.0,1511,12,0,11,1,4225,0,27,0,27,4225,1,1066968,88,10,1,10,1267,32260,16,17,10,0,335.51802865690445,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,23,4225,0,4225,3,6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,23,0,24,4225,222,194,3809,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,10,2,7,1,3.472222222222222e-05,970.0,1308.857142857143,0.0,0.0,0.0,0.0,0.0,1.0
2,0,50,1989843,1171.0,1507,0,0,1,1,1,1,1,1,2,2,0,1066998,0,0,0,0,1267,32264,16,17,1,0,335.4907881739235,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3,8,1,0.00011574074074074075,3096.0,1609.7142857142858,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,1458.0,1506,0,0,15,1,81,68,45,64,109,149,1,1066998,91,6,0,0,1267,32261,16,17,25,0,335.4907881739235,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,15,81,68,149,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,0,31,149,1,13,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,3,8,1,0.00010416666666666667,1171.0,1346.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,2496.0,1505,0,0,15,1,81,68,45,64,109,149,1,1066998,91,6,0,0,1267,32261,16,17,25,0,335.4907881739235,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,15,81,68,149,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,0,31,149,1,13,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,3,8,1,3.472222222222222e-05,1458.0,1386.857142857143,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,783.0,1504,0,0,87,1,237,194,0,0,0,431,0,1067041,0,87,0,0,1268,32271,16,18,7,0,335.4772684461047,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,2,3,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,1,-0.00019675925925925926,2496.0,1600.142857142857,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,791.0,1503,0,0,2,1,193,197,0,0,0,390,1,1066993,89,2,0,0,1267,32262,16,17,16,0,335.49236030601884,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,2,193,197,390,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,9,390,13,14,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,1,0.0002662037037037037,783.0,1567.2857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,972.0,1502,0,0,1,1,0,1,0,0,0,1,0,1067040,0,1,0,0,1268,32272,16,18,26,0,335.4775828460039,0,393.0,0,0,0,0,0,0,0,0,65,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,1,-0.00032407407407407406,791.0,1537.857142857143,0.0,0.0,0.0,0.0,0.0,0.0
